Key,en,es,ar
"ex: jpg, png, pdf","ex: jpg, png, pdf","por ejemplo: jpg, png, pdf",على سبيل المثال: JPG، PNG، PDF
Options,Options,Opciones,خيارات
KYC status updated successfully!,KYC status updated successfully!,¡El estado KYC se actualizó exitosamente!,تم تحديث حالة KYC بنجاح!
Button Image,Button Image,Imagen del botón,صورة الزر
Section Title,Section Title,Sección de título,عنوان القسم
Heading,Heading,Título,عنوان
For Separate Heading color use '|' sing to divide,For Separate Heading color use '|' sing to divide,Para color de título separado utilice '|' cantar para dividir,للحصول على لون عنوان منفصل، استخدم '|' الغناء لتقسيم
Sub Heading,Sub Heading,Subtítulo,العنوان الفرعي
Button Name,Button Name,Nombre del botón,اسم الزر
Button Link,Button Link,Enlace de botón,رابط الزر
Section updated successfully!,Section updated successfully!,¡Sección actualizada exitosamente!,تم تحديث القسم بنجاح!
For color use '[]',For color use '[]',Para color utilice '[]',"لاستخدام اللون ""[]"""
Add New Security,Add New Security,Agregar nueva seguridad,إضافة أمان جديد
Icon,Icon,Icono,أيقونة
Edit Security Item,Edit Security Item,Editar elemento de seguridad,تحرير عنصر الأمان
Section item added successfully!,Section item added successfully!,¡El artículo de la sección se agregó correctamente!,تمت إضافة عنصر القسم بنجاح!
Section item deleted successfully!,Section item deleted successfully!,¡El elemento de la sección se eliminó correctamente!,تم حذف عنصر القسم بنجاح!
Section item status updated successfully!,Section item status updated successfully!,¡El estado del elemento de la sección se actualizó exitosamente!,تم تحديث حالة عنصر القسم بنجاح!
Items not found or invalid!,Items not found or invalid!,¡Artículos no encontrados o no válidos!,لم يتم العثور على العناصر أو غير صالحة!
Add Step,Add Step,Agregar paso,أضف خطوة
Add Item,Add Item,Añadir artículo,اضافة عنصر
Section item updated successfully!,Section item updated successfully!,¡El elemento de la sección se actualizó exitosamente!,تم تحديث عنصر القسم بنجاح!
Link,Link,Enlace,وصلة
Counter Value,Counter Value,Valor del contador,قيمة العداد
Add Statistic,Add Statistic,Agregar estadística,إضافة إحصائية
Social Links,Social Links,vínculos sociales,روابط اجتماعية
Question,Question,Pregunta,سؤال
Answer,Answer,Respuesta,إجابة
Add Service,Add Service,Agregar servicio,أضف الخدمة
Edit Service,Edit Service,Editar servicio,تحرير الخدمة
Add New Faq,Add New Faq,Agregar nuevas preguntas frecuentes,إضافة أسئلة وأجوبة جديدة
Edit Solution,Edit Solution,Editar solución,تحرير الحل
Web blog Dashboard,Web blog Dashboard,Panel de control del blog web,لوحة تحكم مدونة الويب
Add Category,Add Category,añadir categoría,إضافة فئة
Add New Blog,Add New Blog,Agregar nuevo blog,إضافة مدونة جديدة
Total Category,Total Category,Categoría total,الفئة الإجمالية
Active Category,Active Category,Categoría activa,الفئة النشطة
Active Blogs,Active Blogs,Blogs activos,مدونات نشطة
Deactive Blogs,Deactive Blogs,Blogs desactivados,المدونات المعطلة
this blog?,this blog?,este blog?,هذه المدونة؟
this item?,this item?,¿éste ítem?,هذه الماده؟
Edit Item,Edit Item,Editar artículo,تعديل عنصر
Add FAQ,Add FAQ,Agregar preguntas frecuentes,أضف الأسئلة الشائعة
Web Blog Section,Web Blog Section,Sección de blogs web,قسم مدونة الويب
New Blog Create,New Blog Create,Crear nuevo blog,إنشاء مدونة جديدة
Add Tags,Add Tags,Agregar etiquetas,اضف اشارة
Blog Edit Page,Blog Edit Page,Página de edición del blog,صفحة تحرير المدونة
Blog Categories,Blog Categories,Categorías de blogs,فئات المدونة
Add Blog Category,Add Blog Category,Agregar categoría de blog,أضف فئة المدونة
Edit Blog Category,Edit Blog Category,Editar categoría de blog,تحرير فئة المدونة
Category added successfully.,Category added successfully.,Categoría agregada exitosamente.,تمت إضافة الفئة بنجاح.
Category status updated successfully!,Category status updated successfully!,¡El estado de la categoría se actualizó exitosamente!,تم تحديث حالة الفئة بنجاح!
Blog Category Updated Successfully.,Blog Category Updated Successfully.,Categoría de blog actualizada correctamente.,تم تحديث فئة المدونة بنجاح.
Category successfully deleted.,Category successfully deleted.,Categoría eliminada correctamente.,تم حذف الفئة بنجاح.
Blog deleted successfully!,Blog deleted successfully!,¡Blog eliminado exitosamente!,تم حذف المدونة بنجاح!
Blog Data Updated Successfully.,Blog Data Updated Successfully.,Datos del blog actualizados correctamente.,تم تحديث بيانات المدونة بنجاح.
Blog status updated successfully!,Blog status updated successfully!,¡El estado del blog se actualizó exitosamente!,تم تحديث حالة المدونة بنجاح!
Blog created successfully!,Blog created successfully!,Blog creado exitosamente!,تم إنشاء المدونة بنجاح!
Select Category,Select Category,selecciona una categoría,اختر الفئة
this category?,this category?,esta categoría?,هذه الفئة؟
Page Name,Page Name,Nombre de la página,اسم الصفحة
Setup Page status updated successfully!,Setup Page status updated successfully!,¡El estado de la página de configuración se actualizó exitosamente!,تم تحديث حالة صفحة الإعداد بنجاح!
Instructions,Instructions,Instrucciones,تعليمات
Update Extension,Update Extension,Actualizar extensión,تحديث الامتداد
Add Link,Add Link,Añadir enlace,إضافة رابط
Slug,Slug,Babosa,سبيكة
Content,Content,Contenido,محتوى
Use for make page link (URL),Use for make page link (URL),Úselo para crear un enlace a la página (URL),استخدم لإنشاء رابط الصفحة (URL)
Are you sure to delete this link?,Are you sure to delete this link?,¿Estás seguro de eliminar este enlace?,هل أنت متأكد من حذف هذا الرابط؟
Useful link added successfully!,Useful link added successfully!,¡Enlace útil agregado exitosamente!,تمت إضافة الرابط المفيد بنجاح!
Edit Usefull Link,Edit Usefull Link,Editar enlace útil,تحرير الرابط المفيد
Useful link updated successfully!,Useful link updated successfully!,¡Enlace útil actualizado exitosamente!,تم تحديث الرابط المفيد بنجاح!
Useful link deleted successfully!,Useful link deleted successfully!,¡Enlace útil eliminado exitosamente!,تم حذف الرابط المفيد بنجاح!
Useful link status updated successfully!,Useful link status updated successfully!,¡El estado del enlace útil se actualizó exitosamente!,تم تحديث حالة الرابط المفيد بنجاح!
Website Subscribers,Website Subscribers,Suscriptores del sitio web,المشتركين في الموقع
Send Mail to All,Send Mail to All,Enviar correo a todos,إرسال البريد للجميع
Send mail to all subscribers,Send mail to all subscribers,Enviar correo a todos los suscriptores,إرسال البريد إلى جميع المشتركين
Reply sended successfully!,Reply sended successfully!,¡Respuesta enviada exitosamente!,تم إرسال الرد بنجاح!
Automatic Payment Method,Automatic Payment Method,Método de pago automático,طريقة الدفع التلقائية
Gateway,Gateway,Puerta,بوابة
Supported Currency,Supported Currency,Moneda admitida,العملة المدعومة
Enabled Currency,Enabled Currency,Moneda habilitada,العملة الممكّنة
Gateway Image,Gateway Image,Imagen de puerta de enlace,صورة البوابة
Add Automatic Gateway,Add Automatic Gateway,Agregar puerta de enlace automática,إضافة بوابة تلقائية
Gateway Name,Gateway Name,Nombre de la puerta de enlace,اسم البوابة
Gateway Title,Gateway Title,Título de la puerta de enlace,عنوان البوابة
Supported Currencies,Supported Currencies,Monedas admitidas,العملات المدعومة
Generate Fields,Generate Fields,Generar campos,توليد الحقول
Value,Value,Valor,قيمة
Update Gateway,Update Gateway,Actualizar puerta de enlace,تحديث البوابة
Crypto,Crypto,Cripto,تشفير
Gateway Environment,Gateway Environment,Entorno de puerta de enlace,بيئة البوابة
Production,Production,Producción,إنتاج
Sandbox,Sandbox,Salvadera,رمل
Crypto Assets,Crypto Assets,Activos criptográficos,أصول التشفير
Global Setting for,Global Setting for,Configuración global para,الإعداد العالمي ل
in bellow,in bellow,abajo,في رفع الصوت عاليا
Total Supported Currency,Total Supported Currency,Moneda total admitida,إجمالي العملة المدعومة
Amount Limit,Amount Limit,Límite de cantidad,حد المبلغ
Minimum,Minimum,Mínimo,الحد الأدنى
Maximum,Maximum,Máximo,أقصى
Charge,Charge,Cargar,تكلفة
Fixed,Fixed,Fijado,مُثَبَّت
Percent,Percent,Por ciento,نسبه مئويه
The gateway name has already been taken.,The gateway name has already been taken.,El nombre de la puerta de enlace ya ha sido tomado.,لقد تم بالفعل أخذ اسم البوابة.
Payment gateway added successfully!,Payment gateway added successfully!,¡Pasarela de pago agregada exitosamente!,تمت إضافة بوابة الدفع بنجاح!
Payment gateway status updated successfully!,Payment gateway status updated successfully!,¡El estado de la pasarela de pago se actualizó correctamente!,تم تحديث حالة بوابة الدفع بنجاح!
Image upload failed! Please try again.,Image upload failed! Please try again.,¡La carga de la imagen falló! Inténtalo de nuevo.,فشل تحميل الصورة! حاول مرة اخرى.
Payment gateway updated successfully!,Payment gateway updated successfully!,¡Pasarela de pago actualizada con éxito!,تم تحديث بوابة الدفع بنجاح!
Payment gateway deleted successfully!,Payment gateway deleted successfully!,¡Pasarela de pago eliminada con éxito!,تم حذف بوابة الدفع بنجاح!
Manual Payment Method,Manual Payment Method,Método de pago manual,طريقة الدفع اليدوية
Currency Code,Currency Code,Código de moneda,رمز العملة
Currency Symbol,Currency Symbol,Símbolo de moneda,رمز العملة
ex: Paypal,ex: Paypal,Ej: Paypal,على سبيل المثال: باي بال
ex: United State Dollar,ex: United State Dollar,Ej: dólar estadounidense,على سبيل المثال: دولار الولايات المتحدة
ex: USD,ex: USD,ejemplo: USD,على سبيل المثال: دولار أمريكي
ex: $,ex: $,ej: $,على سبيل المثال: $
Manual Payment Method Edit,Manual Payment Method Edit,Método de pago manual Editar,تعديل طريقة الدفع اليدوية
Manual Payment Method Create,Manual Payment Method Create,Crear método de pago manual,إنشاء طريقة الدفع اليدوية
Money Out Add,Money Out Add,Añadir salida de dinero,إضافة الأموال
Money Out Edit,Money Out Edit,Salida de dinero Editar,تحرير الأموال
Browser Push Notification Configuration,Browser Push Notification Configuration,Configuración de notificaciones push del navegador,تكوين إشعارات المتصفح
Method,Method,Método,طريقة
Select Method,Select Method,Seleccionar método,حدد الطريقة
Primary key,Primary key,Clave primaria,المفتاح الأساسي
Instance ID,Instance ID,ID de instancia,معرف المثيل
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,Configuración de transmisión/notificación interna,البث/تكوين الإخطار الداخلي
Cluster,Cluster,Grupo,تَجَمَّع
Secret key,Secret key,Llave secreta,المفتاح السري
APP ID,APP ID,ID DE APLICACIÓN,معرف التطبيق
Body,Body,Cuerpo,جسم
Time,Time,Tiempo,وقت
Latest Notifications,Latest Notifications,Últimas notificaciones,أحدث الإخطارات
Notification Body,Notification Body,Organismo de notificación,هيئة الإخطار
Sorry! You have to configure first to send push notification.,Sorry! You have to configure first to send push notification.,¡Lo siento! Primero debe configurar para enviar notificaciones automáticas.,آسف! يجب عليك التهيئة أولاً لإرسال إشعار الدفع.
Opps! Failed to store information.,Opps! Failed to store information.,¡Ups! No se pudo almacenar la información.,انتبه! فشل في تخزين المعلومات.
Notification sended successfully!,Notification sended successfully!,¡Notificación enviada exitosamente!,تم إرسال الإخطار بنجاح!
Push notification configuration updated successfully!,Push notification configuration updated successfully!,¡La configuración de notificaciones push se actualizó correctamente!,تم تحديث تكوين إشعار الدفع بنجاح!
Policy Link,Policy Link,Enlace de política,رابط السياسة
Cookie information updated successfully!,Cookie information updated successfully!,¡La información de las cookies se actualizó correctamente!,تم تحديث معلومات ملفات تعريف الارتباط بنجاح!
App Name,App Name,Nombre de la aplicación,اسم التطبيق
App Environment,App Environment,Entorno de aplicación,بيئة التطبيق
App Debug,App Debug,Depuración de aplicaciones,تصحيح أخطاء التطبيق
App Mode,App Mode,Modo de aplicación,وضع التطبيق
Database Connection,Database Connection,Conexión de base de datos,اتصال قاعدة البيانات
Database Host,Database Host,Host de base de datos,مضيف قاعدة البيانات
Database Port,Database Port,Puerto de base de datos,منفذ قاعدة البيانات
Database Name,Database Name,Nombre de la base de datos,اسم قاعدة البيانات
Database Username,Database Username,Nombre de usuario de la base de datos,اسم مستخدم قاعدة البيانات
PHP Version,PHP Version,Versión PHP,نسخة PHP
Laravel Version,Laravel Version,Versión Laravel,نسخة لارافيل
Server Software,Server Software,Software de servidor,برامج الخادم
Server IP Address,Server IP Address,Dirección IP del servidor,عنوان IP للخادم
Server Protocol,Server Protocol,Protocolo de servidor,بروتوكول الخادم
Version,Version,Versión,إصدار
"Cache Clear Successfully!","Cache Clear Successfully!","¡Borrar caché correctamente!","تم مسح ذاكرة التخزين المؤقت بنجاح!"
"Language switch successfully!","Language switch successfully!","¡Cambio de idioma exitoso!","تبديل اللغة بنجاح!"
No new notification found!,No new notification found!,¡No se encontró ninguna notificación nueva!,لم يتم العثور على إشعار جديد!
Password Change,Password Change,Cambio de contraseña,تغيير كلمة السر
Language,Language,Idioma,لغة
English,English,Inglés,إنجليزي
Dark Mode,Dark Mode,Modo oscuro,الوضع المظلم
Light Mode,Light Mode,Modo de luz,وضع الضوء
RTL Support,RTL Support,Soporte RTL,دعم RTL
Categories,Categories,Categorías,فئات
Recent Posts,Recent Posts,Mensajes recientes,المشاركات الاخيرة
Category,Category,Categoría,فئة
Select Language,Select Language,Seleccione el idioma,اختار اللغة
"Language File (.xlsx, .csv)","Language File (.xlsx, .csv)","Archivo de idioma (.xlsx, .csv)",ملف اللغة (.xlsx، .csv)
Mail From Address,Mail From Address,Correo desde la dirección,البريد من العنوان
Min Sidebar Color,Min Sidebar Color,Color mínimo de la barra lateral,الحد الأدنى للون الشريط الجانبي
Sidebar Color,Sidebar Color,Color de la barra lateral,لون الشريط الجانبي
Topbar Color,Topbar Color,Color de la barra superior,لون الشريط العلوي
Layout Mode,Layout Mode,Modo de diseño,وضع التخطيط
Total Buy Crypto Transactions,Total Buy Crypto Transactions,Transacciones totales de compra de criptomonedas,إجمالي معاملات شراء العملات المشفرة
Convert Amount,Convert Amount,Convertir cantidad,تحويل المبلغ
You cannot exchange crypto using the same wallet,You cannot exchange crypto using the same wallet,No puedes intercambiar criptomonedas usando la misma billetera,لا يمكنك تبادل العملات المشفرة باستخدام نفس المحفظة
Basic Settings Data Fetch Successfully.,Basic Settings Data Fetch Successfully.,Recuperación de datos de configuración básica exitosa.,تم جلب بيانات الإعدادات الأساسية بنجاح.
Language data fetch successfully!,Language data fetch successfully!,¡Los datos de idioma se obtuvieron correctamente!,تم جلب بيانات اللغة بنجاح!
Notification Data Fetch Successfuly.,Notification Data Fetch Successfuly.,Los datos de notificación se recuperaron correctamente.,تم جلب بيانات الإشعارات بنجاح.
Country List Fetch Successfully!,Country List Fetch Successfully!,¡Obtención exitosa de la lista de países!,تم جلب قائمة الدول بنجاح!
Active Ticket,Active Ticket,Boleto Activo,تذكرة نشطة
Solved Ticket,Solved Ticket,Boleto resuelto,تذكرة محلولة
Pending Ticket,Pending Ticket,Boleto pendiente,تذكرة معلقة
All Ticket,All Ticket,Todos los boletos,جميع التذاكر
Outside Address already exists in selected currency and network!,Outside Address already exists in selected currency and network!,¡La dirección externa ya existe en la moneda y red seleccionadas!,العنوان الخارجي موجود بالفعل بالعملة والشبكة المحددة!
Outside Public Address already exists!,Outside Public Address already exists!,¡La megafonía exterior ya existe!,العنوان العام الخارجي موجود بالفعل!
Min Amount,Min Amount,Cantidad mínima,الحد الأدنى للمبلغ
Max Amount,Max Amount,Cantidad máxima,المبلغ الأقصى
Limit,Limit,Límite,حد
Transactions Overview,Transactions Overview,Resumen de transacciones,نظرة عامة على المعاملات
Available Balance,Available Balance,Saldo disponible,الرصيد المتوفر
Confirm Payment,Confirm Payment,Confirmar pago,تأكيد الدفع
Canceled,Canceled,Cancelado,ألغيت
Reject,Reject,Rechazar,يرفض
Delayed,Delayed,Demorado,تأخير
appLAppName,Adcrypto,Adcripto,Adcrypto
appLAppVersion,1.0.0,1.0.0,1.0.0
appLBuyCrypto,Buy Crypto,Comprar criptomonedas,شراء التشفير
appLSellCrypto,Sell Crypto,Vender criptomonedas,بيع التشفير
appLWithdrawCrypto,Withdraw Crypto,Retirar criptomonedas,سحب التشفير
appLExchangeCrypto,Exchange Crypto,Intercambiar criptomonedas,تبادل التشفير
appLInsideWallet,Inside Wallet,Cartera interior,داخل المحفظة
appLOutsideWallet,Outside Wallet,Cartera exterior,المحفظة الخارجية
appLSelectNetwork,Select Network,Seleccione la red,اختر شبكة
appLSelectCoin,Select Coin,Seleccionar moneda,حدد العملة
appLSelectPaymentMethod,Select Payment Method,Seleccione método de pago,اختار طريقة الدفع
appLPaymentMethod,Payment Method,Método de pago,طريقة الدفع او السداد
appLEnterAmount,Enter Amount,Ingrese el monto,أدخل المبلغ
appLUSDT,USDT,USDT,USDT
appLMinAmount,Min Amount:,Cantidad mínima:,الحد الأدنى للمبلغ:
appLMaxAmount,Max Amount:,Cantidad máxima:,الحد الأقصى للمبلغ:
appLRate,Rate:,Tasa:,معدل:
appLContinueBtn,Continue,Continuar,يكمل
appLCryptoAddress,Crypto Address,Dirección criptográfica,عنوان التشفير
appLEnterOrPasteAddress,Enter Or Paste Address,Ingrese o pegue la dirección,أدخل أو الصق العنوان
appLPreview,Preview,Avance,معاينة
appLEnteredAmount,Entered Amount,Monto ingresado,المبلغ المدخل
appLWalletType,Wallet Type,Tipo de billetera,نوع المحفظة
appLNetwork,Network,Red,شبكة
appLCoin,Coin,Moneda,عملة
appLPaymentGateway,Payment Gateway,Pasarela de pago,بوابة الدفع
appLWalletAddress,Wallet Address,Dirección de billetera,عنوان المحفظة
appLPaymentProofSummary,Payment Proof Summary,Resumen de comprobante de pago,ملخص إثبات الدفع
appLTrx,TRX,TRX,تي آر إكس
appLScreenShot,Screenshot,Captura de pantalla,لقطة شاشة
appLFromCryptoAddress,From Crypto Address,Desde la dirección criptográfica,من عنوان التشفير
appLReceivingMethodSummary,Receiving Method Summary,Resumen del método de recepción,تلقي ملخص الطريقة
appLBankName,Bank Name,Nombre del banco,اسم البنك
appLBankBranch,Bank Branch,Sucursal bancaria,فرع بنك
appLSelectReceivingMethod,Select Receiving Method,Seleccione el método de recepción,حدد طريقة الاستلام
appLReceivingMethod,Receiving Method,Método de recepción,طريقة الاستلام
appLMax,Max,máx.,الأعلى
appLPaymentProof,Payment Proof,Prueba de pago,إثبات الدفع
appLEnterHere,Enter Here,Entre aquí,أدخل هنا
appLReceivingMethodInformation,Receiving Method Information,Recibir información del método,تلقي معلومات الطريقة
appLBankAccNumber,Bank Account Number,Número de cuenta bancaria,رقم الحساب المصرفي
appLBranch,Branch,Rama,فرع
appLWithdrawCryptoExchangeRate,1 USD = 0.00001 USDT,"1 USD = 0,00001 USDT",1 دولار أمريكي = 0.00001 دولار أمريكي
appLLimit,Limit:,Límite:,حد:
appLNetworkCharge,Network Charge:,Cargo de red:,رسوم الشبكة:
appLNetworkFees,Network Fees:,Tarifas de red:,رسوم الشبكة:
appLBuyCryptoNetworkCharge,0.57 USDT,"0,57 USD",0.57 دولار أمريكي
appLNetworkChargeText,Network Charge,Cargo de red,شحن الشبكة
appLExchangeCryptoExchangeRate,1 ETH = 0.00001 BTC,"1 ETH = 0,00001 BTC",1 إيثريوم = 0.00001 بيتكوين
appLExchangeFrom,Exchange From,Intercambiar desde,الصرف من
appLExchangeTo,Exchange To,Intercambiar a,تبادل ل
appLUploadImage,upload Image,cargar imagen,تحميل الصور
appLFromWallet,From Wallet,Desde billetera,من المحفظة
appLToWallet,To Wallet,A la billetera,إلى المحفظة
appLBuyCryptoCongratulationSubtitle,Your crypto has been successfully purchased. Thanks for using AdCrypto.,Su criptomoneda se compró con éxito. Gracias por usar AdCrypto.,لقد تم شراء التشفير الخاص بك بنجاح. شكرا لاستخدام AdCrypto.
appLWithdrawCryptoCongratulationSubtitle,Your crypto has been successfully withdraw. Thanks for using AdCrypto.,Su criptomoneda se ha retirado con éxito. Gracias por usar AdCrypto.,لقد تم سحب التشفير الخاص بك بنجاح. شكرا لاستخدام AdCrypto.
appLExchangeCryptoCongratulationSubtitle,Your crypto has been successfully exchange. Thanks for using AdCrypto.,Su criptomoneda se ha intercambiado exitosamente. Gracias por usar AdCrypto.,لقد تم تبادل التشفير الخاص بك بنجاح. شكرا لاستخدام AdCrypto.
appLPleaseFillOutTheField,Please Fill Out The Field,Por favor complete el campo,يرجى ملء الحقل
appLPleaseAcceptTermsAndConditions,Please Accept Terms And Conditions,Por favor acepte los términos y condiciones,يرجى قبول الشروط والأحكام
appLSignIn,Sign In,Iniciar sesión,تسجيل الدخول
appLSignUp,Sign Up,Inscribirse,اشتراك
appLUserNameOrEmailAddress,Username Or Email Address,Nombre de usuario o dirección de correo electrónico,اسم المستخدم أو البريد الالكتروني
appLPassword,Password,Contraseña,كلمة المرور
appLForgetPassword,Forget Password,Contraseña olvidada,نسيت كلمة المرور
appLGetStarted,Get Started,Empezar,البدء
appLEmailAddress,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني
appLEnterTheOTPCodeSendTo,Enter The OTP Code Sent to,Ingrese el código OTP enviado a,أدخل رمز OTP المرسل إليه
appLVerifiedCode,Verified Code,Código verificado,رمز التحقق
appLSubmit,Submit,Entregar,يُقدِّم
appLOTPVerification,OTP Verification,Verificación OTP,التحقق من OTP
appLEmailVerification,Email Verification,verificacion de email,تأكيد بواسطة البريد الالكتروني
appLResend,Resend,Reenviar,إعادة إرسال
appLResendCode,Resend Code,Reenviar codigo,أعد إرسال الرمز
appLNewPassword,New Password,Nueva contraseña,كلمة المرور الجديدة
appLConfirmPassword,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور
appLEnter,Enter,Ingresar,يدخل
appLResetPassword,Reset Password,Restablecer la contraseña,إعادة تعيين كلمة المرور
appLCongratulation,Congratulations,Felicidades,تهانينا
appLCreateAccount,Create Account,Crear una cuenta,إنشاء حساب
appLFirstName,First Name,Nombre de pila,الاسم الأول
appLLastName,Last Name,Apellido,اسم العائلة
appLOkay,Okay,Bueno,تمام
appLTransfer,TRANSFER,TRANSFERIR,تحويل
appLHome,HOME,HOGAR,بيت
appLProfile,PROFILE,PERFIL,حساب تعريفي
appLAddMoney,Add Money,Agregar dinero,إضافة المال
appLMoneyOut,Money Out,Salida de dinero,لم يبقى اي من المال
appLExchange,Exchange,Intercambio,تبادل
appLRequest,Request,Pedido,طلب
appLRecentTransaction,Recent Transaction,Transacción reciente,المعاملة الأخيرة
appLNotification,Notification,Notificación,إشعار
appLMyInvoice,My Invoice,mi factura,فاتورتي
appLMyVoucher,My Voucher,Mi vale,قسيمتي
appLTransactionLog,Transaction Log,Registro de transacciones,سجل المعاملات
appLTwoFASecurity,2FA Security,Seguridad 2FA,2FA الأمن
appLChangePassword,Change Password,Cambiar la contraseña,تغيير كلمة المرور
appLAmount,Amount,Cantidad,كمية
appLPreviewScreen,Preview Screen,Pantalla de vista previa,شاشة المعاينة
appLExchangeRate,Exchange Rate,Tipo de cambio,سعر الصرف
appLBuyCryptoExchangeRate,1.00 USD - 1.000K USDT,1.00 USD - 1.000K USDT,1.00 دولار أمريكي - 1.000 ألف دولار أمريكي
appLTotalFeesAndCharges,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والمصاريف
appLWillGet,Will Get,Obtendrá,سوف تحصل
appLTotalPayableAmount,Total Payable Amount,Monto total a pagar,إجمالي المبلغ المستحق
appLConfirm,Confirm,Confirmar,يتأكد
appLValidUser,Valid Address for transaction.,Dirección válida para la transacción.,عنوان صالح للمعاملة.
appLInvalidUser,Wallet Address doesnt exists.,La dirección de billetera no existe.,عنوان المحفظة غير موجود.
appLMoneyExchange,Money Exchange,Cambio de dinero,حوالة نقدية
appLFrom,From,De,من
appLTo,To,A,ل
appLRequestMoney,Request Money,Pedir dinero,طلب المال
appLRemarks,Remarks,Observaciones,ملاحظات
appLOptional,Optional,Opcional,خياري
appLShareRequestMoney,Share Request Money,Compartir Solicitar Dinero,مشاركة طلب المال
appLShare,Share,Compartir,يشارك
appLMoneyTransfer,Money Transfer,Transferencia de dinero,تحويل المال
appLAvailableBalance,Available Balance,Saldo disponible,الرصيد المتوفر
appLReceiver,Receiver,Receptor,المتلقي
appLProfileLabel,Profile,Perfil,حساب تعريفي
appLFullName,Full Name,Nombre completo,الاسم الكامل
appLCountry,Country,País,دولة
appLMobileNumber,Mobile Number,Número de teléfono móvil,رقم الهاتف المحمول
appLState,State,Estado,ولاية
appLCity,City,Ciudad,مدينة
appLZipCode,Zip Code,Código postal,الرمز البريدي
appLAddress,Address,DIRECCIÓN,عنوان
appLUpdate,Update,Actualizar,تحديث
appLPaid,Paid,Pagado,مدفوع
appLSent,Sent,Enviado,مرسل
appLUnPaid,UnPaid,No pagado,غير مدفوعة الأجر
appLInvoiceNumber,Invoice Number,Número de factura,رقم الفاتورة
appLInvoiceDate,Invoice Date,Fecha de la factura,تاريخ الفاتورة
appLCurrency,Currency,Divisa,عملة
appLPickGoods,Pick Goods,Escoger productos,اختر البضائع
appLTrickGoods,Trick Goods,Productos de truco,السلع خدعة
appLTotalBill,Total Bill,Cuenta total,إجمالي الفاتورة
appLCreateInvoice,Create Invoice,Crear factura,إنشاء فاتورة
appLInvoiceTo,Invoice To,facturar a,فاتورة إلى
appLBillingAddress,Billing Address,Dirección de Envio,عنوان وصول الفواتير
appLNotes,Notes,Notas,ملحوظات
appLItemDetails,Item Details,detalles del artículo,تفاصيل العنصر
appLClientName,Client Name,nombre del cliente,اسم العميل
appLAddNew,Add New,Agregar nuevo,اضف جديد
appLItemName,Item Name,Nombre del árticulo,اسم العنصر
appLVoucher,Voucher,Vale,فاتورة
appLRedeem,Redeem,Canjear,يسترد
appLUsed,Used,Usado,مستخدم
appLNotUsed,Not Used,No utilizado,غير مستعمل
appLName,Name,Nombre,اسم
appLEmail,Email,Correo electrónico,بريد إلكتروني
appLPhone,Phone,Teléfono,هاتف
appLFeesAndCharge,Fees & Charge,Tarifas y cargos,الرسوم والتكاليف
appLStatus,Status,Estado,حالة
appLCode,Code,Código,شفرة
appLCreateVoucher,Create Voucher,Crear cupón,إنشاء قسيمة
appLConfirmRedeem,Confirm Redeem,Confirmar canjear,تأكيد الاسترداد
appLRedeemCode,Redeem Code,Canjear código,استرداد الرمز
appLAddMoneyLog,Add Money Log,Agregar registro de dinero,إضافة سجل الأموال
appLMoneyOutLog,Money Out Log,Registro de salida de dinero,سجل خروج الأموال
appLRequestLog,Request Log,Registro de solicitudes,سجل الطلب
appLEnable2faSecurity,Enable 2FA Security,Habilite la seguridad 2FA,تمكين أمان 2FA
appLSendVerificationCode,Send Verification Code,Envíe el código de verificación,إرسال رمز التحقق
appLOldPassword,Old Password,Contraseña anterior,كلمة المرور القديمة
appLIndividual,Individual,Individual,فردي
appLBusiness,Business,Negocio,عمل
appLMiddleName,Middle Name,Segundo nombre,الاسم الأوسط
appLUserName,Username,Nombre de usuario,اسم المستخدم
appLPostalCode,Postal Code,Código Postal,رمز بريدي
appLCompanyName,Company Name,nombre de empresa,اسم الشركة
appLGender,Gender,Género,جنس
appLDateOfBirth,Date of Birth,Fecha de nacimiento,تاريخ الميلاد
appLNationality,Nationality,Nacionalidad,جنسية
appLMyReceipt,My Receipt,Mi recibo,إيصالي
appLTotalExchangedAmount,Total Exchanged Amount,Monto total intercambiado,إجمالي المبلغ المتبادل
appLConvertedAmount,Converted Amount,Monto convertido,المبلغ المحول
appLRequestedAmount,Requested Amount,Monto requerido,الكمية المطلوبة
appLEnterOldPassword,Enter Old Password,Ingrese la contraseña anterior,أدخل كلمة المرور القديمة
appLOnboardTitleOne,Make Your,Haz tu,اصنع لك
appLOnboardTitleTwo,Crypto,Cripto,تشفير
appLOnboardTitleThree,Transaction,Transacción,عملية
